"UniqueName","LocalizedNames_EN-US","LocalizedNames_ES-ES","LocalizedDescriptions_EN-US","LocalizedDescriptions_ES-ES"
"T7_FARM_CORN_SEED","Corn Seeds","Semillas de maíz","Corn Seeds are used to plant a patch of Corn","Con semillas de maíz se plantan terrenos de maíz"
"T8_FARM_PUMPKIN_SEED","Pumpkin Seeds","Semillas de calabaza","Pumpkin Seeds are used to plant a patch of Pumpkins","Con semillas de calabaza se plantan terrenos de calabaza"
"T2_FARM_AGARIC_SEED","Arcane Agaric Seeds","Semillas de agárico arcano","Arcane Agaric Seeds are used to plant a patch of Arcane Agaric.","Con semillas de agárico arcano se plantan terrenos de agáricos arcanos"
"T3_FARM_COMFREY_SEED","Brightleaf Comfrey Seeds","Semillas de consuelda hojabrillante","Brightleaf Comfrey Seeds are used to plant a patch of Brightleaf Comfrey.","Con semillas de consuelda hojabrillante se plantan terrenos de consuelda hojabrillante"
"T4_FARM_BURDOCK_SEED","Crenellated Burdock Seeds","Semillas de bardana almenada","Crenellated Burdock Seeds are used to plant a patch of Crenellated Burdock.","Con semillas de bardana almenada se plantan terrenos de bardana almenada"
"T5_FARM_TEASEL_SEED","Dragon Teasel Seeds","Semillas de cardo de dragón","Dragon Teasel Seeds are used to plant a patch of Dragon Teasel.","Con semillas de cardo de dragón se plantan terrenos de cardo de dragón"
"T6_FARM_FOXGLOVE_SEED","Elusive Foxglove Seeds","Semillas de dedalera elusiva","Elusive Foxglove Seeds are used to plant a patch of Elusive Foxglove","Con semillas de dedalera elusiva se plantan terrenos de dedalera elusiva"
"T7_FARM_MULLEIN_SEED","Firetouched Mullein Seeds","Semillas de gordolobo de fuego","Firetouched Mullein Seeds are used to plant a patch of Firetouched Mullein","Con semillas de gordolobo de fuego se plantan terrenos de gordolobo de fuego"
"T8_FARM_YARROW_SEED","Ghoul Yarrow Seeds","Semillas de milenrama demoníaca","Ghoul Yarrow Seeds are used to plant a patch of Ghoul Yarrow","Con semillas de milenrama demoníaca se plantan terrenos de milenrama demoníaca"
"T3_FARM_OX_BABY","Journeyman's Ox Calf","Becerro del obrero","Grows into a Journeyman's Ox, which can be used to craft a Journeyman's Transport Ox.","Crece y se convierte en un buey del obrero que puede ser usado para fabricar un buey de transporte del obrero."
"T4_FARM_OX_BABY","Adept's Ox Calf","Becerro del iniciado","Grows into an Adept's Ox, which can be used to craft an Adept's Transport Ox.","Se convierte en un buey del iniciado, que se puede utilizar para crear un buey de transporte del iniciado."
"T5_FARM_OX_BABY","Expert's Ox Calf","Becerro del experto","Grows into an Expert's Ox, which can be used to craft an Expert's Transport Ox.","Se convierte en un buey del experto, que se puede utilizar para crear un buey de transporte del experto."
"T6_FARM_OX_BABY","Master's Ox Calf","Becerro del maestro","Grows into an Master's Ox which can be used to craft a Master's Transport Ox.","Se convierte en un buey del maestro, que se puede utilizar para crear un buey de transporte del maestro."
"T7_FARM_OX_BABY","Grandmaster's Ox Calf","Becerro del gran maestro","Grows into an Grandmaster's Ox which can be used to craft a Grandmaster's Transport Ox.","Se convierte en un buey del gran maestro, que se puede utilizar para crear un buey de transporte del gran maestro."
"T8_FARM_OX_BABY","Elder's Ox Calf","Becerro del anciano","Grows into an Elder's Ox which can be used to craft an Elder's Transport Ox.","Se convierte en un buey del anciano, que se puede utilizar para crear un buey de transporte del anciano."
"T3_FARM_OX_GROWN","Journeyman's Ox","Buey del obrero","Can be used to craft a Journeyman's Transport Ox.","Puede ser usado para fabricar un Buey de transporte."
"T4_FARM_OX_GROWN","Adept's Ox","Buey del iniciado","Can be used to craft an Adept's Transport Ox.","Se puede utilizar para crear un buey de transporte del iniciado."
"T5_FARM_OX_GROWN","Expert's Ox","Buey del experto","Can be used to craft an Expert's Transport Ox.","Se puede utilizar para crear un buey de transporte del experto."
"T6_FARM_OX_GROWN","Master's Ox","Buey del maestro","Can be used to craft a Master's Transport Ox.","Se puede utilizar para crear un buey de transporte del maestro."
"T7_FARM_OX_GROWN","Grandmaster's Ox","Buey del gran maestro","Can be used to craft a Grandmaster's Transport Ox.","Se puede utilizar para crear un buey de transporte del gran maestro."
"T8_FARM_OX_GROWN","Elder's Ox","Buey del anciano","Can be used to craft a Elder's Transport Ox.","Se puede utilizar para crear un buey de transporte del anciano."
"T3_FARM_HORSE_BABY","Journeyman's Foal","Potro del obrero","Grows into a Journeyman's Horse, which can be used to craft a Journeyman's Riding Horse.","Crece y se convierte en un Caballo del obrero, que puede ser usado para fabricar un Caballo de montar del obrero."
"T4_FARM_HORSE_BABY","Adept's Foal","Potro del iniciado","Grows into an Adept's Horse, which can be used to craft an Adept's Riding Horse.","Se convierte en un caballo del iniciado, que se puede utilizar para crear un caballo de montar del iniciado."
"T5_FARM_HORSE_BABY","Expert's Foal","Potro del experto","Grows into an Expert's Horse, which can be used to craft an Expert's Riding Horse or an Expert's Armored Horse.","Se convierte en un caballo del experto, que se puede utilizar para crear un caballo de montar del experto o un caballo blindado del experto."
"T6_FARM_HORSE_BABY","Master's Foal","Potro del maestro","Grow into a Master's Horse which can be used to craft a Master's Riding Horse or a Master's Armored Horse.","Se convierte en un caballo del maestro, que se puede utilizar para crear un caballo de montar del maestro o un caballo blindado del maestro."
"T7_FARM_HORSE_BABY","Grandmaster's Foal","Potro del gran maestro","Grow into a Grandmaster's Horse which can be used to craft a Grandmaster's Riding Horse or a Grandmaster's Armored Horse.","Se convierte en un caballo del gran maestro, que se puede utilizar para crear un caballo de montar del gran maestro o un caballo blindado del gran maestro."
"T8_FARM_HORSE_BABY","Elder's Foal","Potro del anciano","Grow into a Elder's Horse which can be used to craft an Elder's Riding Horse or an Elder's Armored Horse.","Se convierte en un caballo del anciano, que se puede utilizar para crear un caballo de montar del anciano o un caballo blindado del anciano."
"T3_FARM_HORSE_GROWN","Journeyman's Horse","Caballo del obrero","Can be used to craft a Journeyman's Riding Horse.","Puede ser usado para fabricar un caballo de montar del obrero."
"T4_FARM_HORSE_GROWN","Adept's Horse","Caballo del iniciado","Can be used to craft an Adept's Riding Horse.","Se puede utilizar para crear un caballo de montar del iniciado."
"T5_FARM_HORSE_GROWN","Expert's Horse","Caballo del experto","Can be used to craft an Expert's Riding Horse or an Expert's Armored Horse.","Se puede utilizar para crear un caballo de montar del experto o un caballo blindado del experto."
"T6_FARM_HORSE_GROWN","Master's Horse","Caballo del maestro","Can be used to craft a Master's Riding Horse or a Master's Armored Horse.","Se puede utilizar para crear un caballo de montar del maestro o un caballo blindado del maestro."
"T7_FARM_HORSE_GROWN","Grandmaster's Horse","Caballo del gran maestro","Can be used to craft a Grandmaster's Riding Horse or a Grandmaster's Armored Horse.","Se puede utilizar para crear un caballo de montar del gran maestro o un caballo blindado del gran maestro."
"T8_FARM_HORSE_GROWN","Elder's Horse","Caballo del anciano","Can be used to craft an Elder's Riding Horse or an Elder's Armored Horse.","Se puede utilizar para crear un caballo de montar del anciano o un caballo blindado del anciano."
"T6_FARM_DIREWOLF_BABY","Direwolf Pup","Cachorro de huargo","A Direwolf Pup placed in a Kennel will grow into a Tame Direwolf, which can be trained into a Direwolf mount.","Un cachorro de huargo colocado en una jaula crecerá en un huargo domado y puede ser entrenado en una montura de huargo."
"T7_FARM_DIREBOAR_BABY","Direboar Piglet","Jabato","Grows into a Tame Direboar. which can be used to craft a Saddled Direboar Mount.","Se convierte en un jabalí domado, que puede usarse para crear la montura de jabalí ensillado."
"T8_FARM_DIREBEAR_BABY","Direbear Cub","Cría de oso gigante","Grows into a Tame Direbear, which can be used to craft a Saddled Direbear Mount.","Se convierte en un oso gigante domado, que puede usarse para crear la montura de oso gigante ensillado."
"T7_FARM_SWAMPDRAGON_BABY","Swamp Dragon Pup","Cría de dragón de pantano","Grows into a Tame Swamp Dragon, which can be used to craft a Saddled Swamp Dragon mount.","Crece hasta convertirse en un dragón de pantano domado, que puede ser usado para crear la montura de dragón de pantano ensillado."
"T8_FARM_MAMMOTH_BABY","Mammoth Calf","Cría de mamut","A Mammoth Calf placed in a Kennel will grow into a Tame Mammoth, which can be trained into a Mammoth mount.","Una cría de mamut colocada en una jaula crecerá en un mamut domado, que puede ser entrenado en una montura de mamut."
"T5_FARM_COUGAR_BABY","Swiftclaw Cub","Cachorro de garrapresta","A Swiftclaw Cub placed in a Kennel will grow into a Tame Swiftclaw, which can be trained into a Swiftclaw mount.","Un cachorro de garrapresta colocado en una jaula crecerá en un garrapresta domado que se puede entrenar en una montura."
"T8_FARM_DIREWOLF_BABY","Ghostwolf Pup","Cachorro de lobo fantasma","A Ghostwolf Pup placed in a Kennel will grow into a Tame Ghostwolf. Note: Ghostwolf Pups and Tame Ghostwolves can be kept in a kennel, but cannot be trained into Ghostwolf mounts.","Un cachorro de lobo fantasma colocado en una jaula crecerá en un lobo fantasma domado. Nota: los cachorros de lobo fantasma y los lobo fantasma domados pueden ser colocados en una jaula, pero no pueden ser entrenados en monturas de lobo fantasma."
"T4_FARM_GIANTSTAG_BABY","Adept's Fawn","Cervatillo del iniciado","A fawn placed in a Pasture will grow into a Tame Giant Stag, which can be trained into a mount.","Un cervatillo colocado en el pasto crecerá en un ciervo gigante domado, que se puede entrenar como una montura."
"T6_FARM_GIANTSTAG_BABY","Master's Fawn","Cervatillo del maestro","A fawn placed in a pasture will grow into a Tame Giant Stag. Note: Master's Tame Giant Stags can be kept in a pasture, but cannot be trained into mounts.","Un cervatillo colocado en el pasto crecerá en un ciervo gigante domado, que se puede entrenar como una montura."
"T6_FARM_GIANTSTAG_MOOSE_BABY","Moose Calf","Cría de alce","A Moose Calf placed in a Pasture will grow into a Tame Moose, which can be trained into a mount.","Una cría de alce colocada en un pasto se convertirá en un alce domado, que puede ser entrenado en una montura."
"T8_FARM_RABBIT_EASTER_BABY","Vibrant Spring Cottontail Egg","Huevito de conejo primaveral","A rare egg found during the Rites of Spring. Can be raised in a Kennel by feeding it chocolate, then trained into a mount.","Un extraño huevo encontrado durante los ritos de primavera. Se puede criar en una jaula al alimentarlo con chocolate, para luego convertirlo en una montura de Conejo primaveral."
"T8_FARM_RABBIT_EASTER_BABY_DARK","Eerie Cottontail Egg","Huevo de conejo espeluznante","A rare egg found during the Rites of Spring. Can be raised in a Kennel and trained into a mount. It refuses chocolate.","Un extraño huevo encontrado durante los Ritos de primavera. Se puede criar en una jaula para luego convertirlo en una montura. Rechaza el chocolate."
"T8_FARM_RABBIT_EASTER_GROWN","Tame Spring Cottontail","Conejo primaveral domado","Can be used to craft a Spring Cottontail mount.","Se puede utilizar para fabricar una montura de Conejo primaveral."
"T8_FARM_RABBIT_EASTER_GROWN_DARK","""Tame"" Caerleon Cottontail","Conejo de Caerleon ""domado""","Can be used to craft a Caerleon Cottontail Mount. It never experienced the joy of chocolate.","Se puede utilizar para fabricar una montura de Conejo de Caerleon. Nunca experimentó la alegría del chocolate."
"T5_FARM_MOABIRD_FW_BRIDGEWATCH_BABY","Baby Moabird","Cría de Ave moa","A Baby Moabird placed in a kennel will grow into a Tame Moabird, which can be trained into a mount.","Coloca una cría de ave moa en una jaula para que se convierta en una ave moa domada, que puede ser entrenada para ser una montura."
"T5_FARM_DIREBEAR_FW_FORTSTERLING_BABY","Winter Bear Cub","Cachorro de oso de invierno","A Winter Bear Cub placed in a kennel will grow into a Tame Winter Bear, which can be trained into a mount.","Coloca un cachorro de oso de invierno en una jaula para que se convierta en un oso de invierno domado, que puede ser entrenado para ser una montura."
"T5_FARM_DIREBOAR_FW_LYMHURST_BABY","Wild Boarlet","Jabato salvaje","A Wild Boarlet placed in a kennel will grow into a Tame Wild Boar, which can be trained into a mount.","Coloca un jabato salvaje en una jaula para que crezca en un jabalí salvaje domado, que puede ser entrenado para ser una montura."
"T5_FARM_RAM_FW_MARTLOCK_BABY","Bighorn Ram Lamb","Cordero de carnero cimarrón","A Bighorn Ram Lamb placed in a kennel will grow into a Tame Bighorn Ram, which can be trained into a mount.","Coloca un cordero de carnero cimarrón en una jaula para que crezca en un carnero cimarrón domado, que puede ser entrenado para ser una montura."
"T5_FARM_SWAMPDRAGON_FW_THETFORD_BABY","Baby Swamp Salamander","Cría de Salamandra de pantano","A Baby Swamp Salamander placed in a kennel will grow into a Tame Swamp Salamander, which can be trained into a mount.","Coloca una cría de salamandra de pantano en una jaula para que crezca en un salamandra de pantano domada, que puede ser entrenada para ser una montura."
"T5_FARM_GREYWOLF_FW_CAERLEON_BABY","Caerleon Greywolf Pup","Cachorro de lobo gris de Caerleon","A Greywolf Pup placed in a kennel will grow into a Tame Greywolf, which can be trained into a mount.","Un cachorro de lobo gris colocado en una jaula se convertirá en un lobo gris domado, que puede entrenarse para convertirse en una montura."
"T5_FARM_OWL_FW_BRECILIEN_BABY","Mystic Owlet","Buhito místico","A Mystic Owlet placed in a kennel will grow into a Tame Mystic Owl, which can be trained into a mount.","Un Buhito místico colocado en una jaula crecerá hasta volverse un Búho místico domado, que puede ser convertido en una montura."
"T8_FARM_MOABIRD_FW_BRIDGEWATCH_BABY","Baby Elite Terrorbird","Cría de ave de terror de élite","A Baby Elite Terrorbird placed in a kennel will grow into a Tame Elite Terrorbird, which can be trained into a mount.","Una cría de ave de terror de élite colocada en una jaula se convertirá en un ave de terror élite domada, que puede entrenarse para convertirse en una montura."
"T8_FARM_DIREBEAR_FW_FORTSTERLING_BABY","Elite Winter Bear Cub","Cachorro de oso de invierno de élite","An Elite Winter Bear Cub placed in a kennel will grow into a Tame Elite Winter Bear, which can be trained into a mount.","Un cachorro de oso de invierno de élite colocado en una jaula se convertirá en un oso de invierno élite domado, que puede entrenarse para convertirse en una montura."
"T8_FARM_DIREBOAR_FW_LYMHURST_BABY","Elite Wild Boarlet","Jabato salvaje de élite","A Wild Elite Boarlet placed in a kennel will grow into a Tame Elite Wild Boar, which can be trained into a mount.","Un jabato salvaje de élite colocado en una jaula se convertirá en un jabalí salvaje de élite domado, que puede entrenarse para convertirse en una montura."
"T8_FARM_RAM_FW_MARTLOCK_BABY","Elite Bighorn Ram Lamb","Cordero de carnero cimarrón de élite","An Elite Bighorn Ram Lamb placed in a kennel will grow into a Tame Elite Bighorn Ram, which can be trained into a mount.","Un cordero de carnero cimarrón de élite colocado en una jaula se convertirá en un carnero cimarrón élite domado, que se puede entrenar en una montura."
"T8_FARM_SWAMPDRAGON_FW_THETFORD_BABY","Baby Elite Swamp Salamander","Cría de salamandra de pantano de élite","A Baby Elite Swamp Salamander placed in a kennel will grow into a Tame Elite Swamp Salamander, which can be trained into a mount.","Una cría de salamandra de pantano de élite colocada en una jaula se convertirá en una salamandra de pantano élite domada, que puede entrenarse para convertirse en una montura."
"T8_FARM_GREYWOLF_FW_CAERLEON_BABY","Elite Greywolf Pup","Cachorro de lobo gris de élite","An Elite Greywolf Pup placed in a kennel will grow into a Tame Elite Greywolf, which can be trained into a mount.","Un cachorro de lobo gris de élite colocado en una jaula se convertirá en un lobo gris de élite domado, que puede entrenarse para convertirse en una montura."
"T8_FARM_OWL_FW_BRECILIEN_BABY","Elite Mystic Owlet","Buhito místico de élite","An Elite Mystic Owlet placed in a kennel will grow into a Tame Elite Mystic Owl, which can be trained into a mount.","Un Buhito místico de élite colocado en una jaula crecerá hasta volverse un Búho místico de élite domado, que puede ser convertido en una montura."
"T6_FARM_DIREWOLF_GROWN","Tame Direwolf","Huargo domado","Can be used to craft a Direwolf mount.","Puede usarse para crear la montura de huargo."
"T7_FARM_DIREBOAR_GROWN","Tame Direboar","Jabalí domado","Can be used to craft a Saddled Direboar Mount.","Puede usarse para crear la montura de jabalí ensillado."
"T8_FARM_DIREBEAR_GROWN","Tame Direbear","Oso gigante domado","Can be used to craft a Saddled Direbear mount.","Puede usarse para crear la montura de oso gigante ensillado."
"T7_FARM_SWAMPDRAGON_GROWN","Tame Swamp Dragon","Dragón de pantano domado","Can be used to craft a Saddled Swamp Dragon mount.","Puede ser usado para crear la montura de dragón de pantano ensillado."
"T8_FARM_MAMMOTH_GROWN","Tame Mammoth","Mamut domado","Can be used to craft a Mammoth mount.","Puede usarse para crear la montura de Mamut."
"T5_FARM_COUGAR_GROWN","Tame Swiftclaw","Garrapresta domado","Can be used to craft a Swiftclaw mount.","Puede ser usado para crear una montura de garrapresta."
"T8_FARM_DIREWOLF_GROWN","Tame Ghostwolf","Lobo fantasma domado","Can be displayed in a kennel, but cannot be used to craft a Ghostwolf mount.","Se puede poner en una jaula pero no puede ser usado para crear una montura de lobo fantasma"
"T4_FARM_GIANTSTAG_GROWN","Adept's Tame Giant Stag","Ciervo gigante domado del iniciado","Can be used to craft a Giant Stag mount.","Puede ser usado para crear la montura de Ciervo gigante."
"T6_FARM_GIANTSTAG_GROWN","Master's Tame Giant Stag","Ciervo gigante domado del maestro","Can be kept in a pasture, but cannot be used to craft a Master's Giant Stag mount.","Puede colocarse en el pasto, pero no puede ser usado para crear la montura de ciervo gigante del maestro."
"T6_FARM_GIANTSTAG_MOOSE_GROWN","Tame Moose","Alce domado","Can be used to craft a Moose mount.","Se puede utilizar para fabricar una montura de alce."
"T5_FARM_MOABIRD_FW_BRIDGEWATCH_GROWN","Tame Moabird","Ave moa domada","Can be used to craft a Saddled Moabird mount.","Puede ser usado para fabricar una ave moa ensillada"
"T5_FARM_DIREBEAR_FW_FORTSTERLING_GROWN","Tame Winter Bear","Oso de invierno domado","Can be used to craft a Saddled Winter Bear mount.","Puede ser usado para fabricar un oso de invierno ensillado"
"T5_FARM_DIREBOAR_FW_LYMHURST_GROWN","Tame Wild Boar","Jabalí salvaje domado","Can be used to craft a Saddled Wild Boar mount.","Puede ser usado para fabricar un jabalí salvaje ensillado"
"T5_FARM_RAM_FW_MARTLOCK_GROWN","Tame Bighorn Ram","Carnero cimarrón domado","Can be used to craft a Saddled Bighorn Ram mount.","Puede ser usado para fabricar un carnero cimarrón ensillado"
"T5_FARM_SWAMPDRAGON_FW_THETFORD_GROWN","Tame Swamp Salamander","Salamandra de pantano domada","Can be used to craft a Saddled Swamp Salamander mount.","Puede ser usado para fabricar una salamandra de pantano ensillada"
"T5_FARM_GREYWOLF_FW_CAERLEON_GROWN","Tame Greywolf","Lobo gris de élite domado","Can be used to craft a Saddled Greywolf mount.","Se puede utilizar para fabricar una montura lobo gris ensillado."
"T5_FARM_OWL_FW_BRECILIEN_GROWN","Tame Mystic Owl","Búho místico domado","Can be used to craft a Saddled Mystic Owl mount.","Se puede usar para fabricar una montura de Búho místico ensillado."
"T8_FARM_MOABIRD_FW_BRIDGEWATCH_GROWN","Tame Elite Terrorbird","Ave de terror de élite domada","Can be used to craft an Elite Terrorbird mount.","Puede usarse para fabricar una montura de ave de terror de élite."
"T8_FARM_DIREBEAR_FW_FORTSTERLING_GROWN","Tame Elite Winter Bear","Oso de invierno de élite domado","Can be used to craft an Elite Winter Bear mount.","Puede usarse para fabricar una montura de oso de invierno de élite"
"T8_FARM_DIREBOAR_FW_LYMHURST_GROWN","Tame Elite Wild Boar","Jabalí salvaje de élite domado","Can be used to craft an Elite Wild Boar mount.","Puede usarse para fabricar una montura de Jabalí salvaje de élite."
"T8_FARM_RAM_FW_MARTLOCK_GROWN","Tame Elite Bighorn Ram","Carnero cimarrón de élite domado","Can be used to craft an Elite Bighorn Ram mount.","Se puede utilizar para fabricar una montura carnero cimarrón de élite."
"T8_FARM_SWAMPDRAGON_FW_THETFORD_GROWN","Tame Elite Swamp Salamander","Salamandra de pantano de élite domada","Can be used to craft an Elite Swamp Salamander mount.","Puede usarse para fabricar una montura salamandra de pantano élite."
"T8_FARM_GREYWOLF_FW_CAERLEON_GROWN","Tame Elite Greywolf","Lobo gris de élite domado","Can be used to craft an Elite Greywolf mount.","Puede usarse para fabricar una montura lobo gris de élite."
"T8_FARM_OWL_FW_BRECILIEN_GROWN","Tame Elite Mystic Owl","Búho místico de élite domado","Can be used to craft an Elite Mystic Owl mount.","Se puede usar para fabricar una montura de Búho místico de élite."
"T3_FARM_CHICKEN_BABY","Baby Chickens","Pollitos","You can place Baby Chickens in your pasture to grow them into Chickens.","Puedes colocar pollitos en tu pasto para que se conviertan en pollos"
"T4_FARM_GOAT_BABY","Kid","Cabrito","Kids placed in a pasture will grow into Goats.","Los cabritos colocados en el pasto se convertirán en cabras."
"T5_FARM_GOOSE_BABY","Gosling","Ansarino","You can place Goslings in a pasture to grow them into Geese.","Puedes colocar ansarinos en tu pasto para que se conviertan en gansos"
"T6_FARM_SHEEP_BABY","Lamb","Cordero","You can place Lambs on your pasture for them to grow up into Sheep","Puedes colocar corderos en tu pasto para que se conviertan en ovejas"
"T7_FARM_PIG_BABY","Piglet","Lechón","You can Place piglets on your pasture for them to grow up into Pigs","Puedes colocar lechones en tu pasto para que se conviertan en cerdos"
"T8_FARM_COW_BABY","Calf","Ternero","You can place Calves on your pasture for them to grow up into Cows","Puedes colocar terneros en tu pasto para que se conviertan en vacas"
"T3_FARM_CHICKEN_GROWN","Chicken","Pollo","Chickens can be slaughtered to produce Raw Chicken, or left alive to produce Hen Eggs.","Puedes sacrificar pollos para conseguir carne de pollo o dejarlos vivos y obtener huevos"
"T4_FARM_GOAT_GROWN","Goat","Cabra","Goats can be slaughtered to produce Raw Goat, or kept alive to produce Goat's Milk.","Puedes sacrificar cabras para conseguir carne de cabras o dejarlas vivas y obtener leche."
"T5_FARM_GOOSE_GROWN","Goose","Ganso","Geese can be slaughtered to produce Raw Goose, or left alive to produce Goose Eggs.","Puedes sacrificar a los gansos para conseguir carne de ganso o dejarlos vivos y obtener huevos"
"T6_FARM_SHEEP_GROWN","Sheep","Oveja","Sheep can be slaughtered to produce Raw Mutton, or left alive to produce Sheep's Milk","Puedes sacrificar ovejas para conseguir carne de carnero o dejarlas vivas y obtener leche"
"T7_FARM_PIG_GROWN","Pig","Cerdo","Pigs can be slaughtered to produce Raw Pork","Puedes sacrificar cerdos para conseguir carne de cerdo"
"T8_FARM_COW_GROWN","Cow","Vaca","Cows can be slaughtered to produce Raw Beef, or left alive to produce Cow's Milk","Puedes sacrificar vacas para conseguir carne de ternera o dejarlas vivas y obtener leche"
"T6_MOUNTUPGRADE_GIANTSTAG_XMAS","Decorative Stag Bridle","Brida decorativa de ciervo","This bridle allows you to decorate a Giant Stag for Yuletide.","Esta brida te permite decorar a un ciervo gigante para las fiestas de Yule."
"UNIQUE_MOUNTUPGRADE_RAM_XMAS","Decorative Ram Bridle","Brida decorativa de ariete","This bridle allows you to decorate a Ram for Yuletide.","Esta brida te permite decorar un ariete para las fiestas de Yule"
"T5_MOUNTUPGRADE_HORSE_CURSE","Necromantic Elixir","Elixir nigromántico","Extreme weight-loss regime for horses.","Dieta para que los caballos pierdan gran cantidad de peso"
"T8_MOUNTUPGRADE_HORSE_CURSE","Spectral Mask","Máscara espectral","When bound to an undead horse with dark rituals, it will grant the horse additional powers of the undead realm.","Cuando se le pone a un caballo muerto viviente a través de oscuros rituales, dicho caballo obtendrá poderes adicionales del reino de los muertos vivientes."
"T8_MOUNTUPGRADE_COUGAR_KEEPER","Sacred Bone Marrow","Médula ósea sagrada","Consecrated Keeper Bone Marrow, that when used in a ritual has the power to transform a cougar into a mighty Rageclaw.","Médula ósea de guardián consagrada, que cuando se utiliza en un ritual tiene el poder de transformar a un puma en un poderoso garrafuria."
"T5_MOUNTUPGRADE_HORSE_MORGANA","Morgana Mare Saddle","Yegua de Morgana Ensillada","The centerpiece of a set of Morgana Mare tack, which grants superior protection compared to standard horse armor.","La pieza central del equipo de Yegua Morgana, la cual garantiza una protección superior comparada con los caballos armados estándares."
"T8_MOUNTUPGRADE_HORSE_MORGANA","Infernal Horseshoes","Herradura infernal","Acts as an entryway for demonic possession on Morgana Horses","Actúa como una entrada para la posesión demoniaca de los caballos de Morgana"
"T1_CARROT","Carrots","Zanahorias","Carrots are used in a variety of meals.","Las zanahorias se usan en varias comidas"
"T2_BEAN","Beans","Frijoles","Beans are used in a variety of meals.","Los frijoles se usan en varias comidas"
"T3_WHEAT","Sheaf of Wheat","Manojo de trigo","You can grind Wheat into Flour at a Mill, or use it to create meals.","Puedes transformar el trigo en harina en un molino o usarlo para cocinar"
"T4_TURNIP","Turnips","Rábanos","Turnips are used in a variety of meals.","Los rábanos se usan en varias comidas"
"T5_CABBAGE","Cabbage","Coles","Cabbage is used in a variety of meals.","Las coles se usan en varias comidas"
"T6_POTATO","Potatoes","Patatas","Potatoes are used in a variety of meals","Las patatas se usan en varias comidas"
"T7_CORN","Bundle of Corn","Fardo de maíz","Corn is used in a variety of foods","El maíz se usa en varias comidas"
"T8_PUMPKIN","Pumpkin","Calabaza","Pumpkins are used in a variety of meals","Las calabazas se usan en varias comidas"
"T2_AGARIC","Arcane Agaric","Agárico arcano","Arcane Agaric is used in various alchemical decoctions.","El agárico arcano se usa en varias decocciones alquímicas"
"T3_COMFREY","Brightleaf Comfrey","Consuelda hojabrillante","Brightleaf Comfrey is used in various alchemical decoctions.","La consuelda hojabrillante se usa en varias decocciones alquímicas"
"T4_BURDOCK","Crenellated Burdock","Bardana almenada","Crenellated Burdock is used in various alchemical decoctions.","La bardana almenada se usa en varias decocciones alquímicas"
"T5_TEASEL","Dragon Teasel","Cardo de dragón","Dragon Teasel is used in various alchemical decoctions","El cardo de dragón se usa en varias decocciones alquímicas"
"T6_FOXGLOVE","Elusive Foxglove","Dedalera elusiva","Elusive Foxglove is used in various alchemical decoctions","La dedalera elusiva se usa en varias decocciones alquímicas"
